name,first_name_count,middle_name_count,sex
אדוארד,4932,543,m
נאור,4898,383,m
רחמים,4843,2936,m
בועז,4834,416,m
גריגורי,4793,83,m
אהוד,4784,377,m
גדעון,4756,657,m
סרגיי,4741,69,m
אביחי,4696,1278,m
שמחה,4683,3226,m
ידידיה,4652,1369,m
לירון,4647,175,m
לוי,4557,1160,m
שלו,4507,425,m
דני,4457,356,m
אולג,4424,67,m
שקד,4406,147,m
מנשה,4348,1836,m
רום,4344,98,m
ירדן,4315,135,m
אוריה,4290,304,m
נחום,4260,2185,m
אליאב,4225,313,m
יהב,4194,109,m
ליעד,4192,104,m
מקסים,4173,284,m
עילי,4161,77,m
נבו,4160,110,m
סהר,4152,183,m
אריק,4146,755,m
אמיתי,4142,150,m
רוי,4096,153,m
עדן,4067,214,m
בניה,4041,367,m
ניסים,4026,4462,m
שילה,4010,429,m
גד,3908,1164,m
לב,3908,894,m
אימרי,3849,40,m
ליאב,3789,191,m
שון,3780,351,m
יקיר,3732,506,m
אושרי,3669,371,m
סמיון,3655,52,m
ארקדי,3630,58,m
חנן,3584,1006,m
לידור,3553,110,m
בארי,3511,178,m
רואי,3464,323,m
שליו,3438,252,m
יוחאי,3420,1553,m
ליאל,3368,194,m
זוהר,3296,457,m
רוברט,3295,885,m
עמרם,3201,1918,m
ניצן,3167,141,m
עמיחי,3166,529,m
אליאור,3151,180,m
עובדיה,3103,1483,m
אנטולי,3076,53,m
דויד,3021,1701,m
יפים,3008,89,m
עקיבא,2983,976,m
אילון,2961,81,m
מלאכי,2952,313,m
מור,2950,399,m
מוריס,2928,1238,m
בני,2910,338,m
אלרואי,2907,66,m
אלכסיי,2887,37,m
פבל,2884,83,m
ולרי,2840,46,m
נמרוד,2833,116,m
צחי,2805,782,m
שמשון,2790,971,m
סימון,2788,977,m
שניאור,2752,368,m
יוחנן,2748,809,m
פלג,2727,53,m
מוטי,2698,659,m
ראם,2692,80,m
סער,2691,80,m
גולן,2677,251,m
נווה,2677,120,m
רם,2662,451,m
יפתח,2628,145,m
גנאדי,2603,26,m
חנוך,2579,1106,m
מעיין,2544,66,m
ניסן,2537,1060,m
ויטלי,2529,63,m
הרצל,2504,524,m
ודים,2492,39,m
דין,2488,181,m
יגל,2467,174,m
אלדד,2423,145,m
יוגב,2421,83,m
חי,2409,12126,m
יונה,2409,1427,m
אלימלך,2404,2922,m
אלישע,2366,539,m
קובי,2361,796,m
גרשון,2358,1408,m
ישעיהו,2330,3262,m
דולב,2311,71,m
עפר,2311,77,m
שניר,2296,92,m
איליי,2273,71,m
מישל,2244,670,m
רפי,2224,351,m
לאון,2218,839,m
עוזי,2217,276,m
לירוי,2205,32,m
פליקס,2198,454,m
אלן,2174,1098,m
חנניה,2173,1009,m
יאן,2173,195,m
הדר,2163,117,m
קורן,2133,88,m
בצלאל,2128,1146,m
סלומון,2127,762,m
טום,2106,60,m
יריב,2095,113,m
זהר,2090,251,m
סתיו,2083,75,m
עדיאל,2074,135,m
ליאו,2034,219,m
עמי,2008,645,m
אבירם,1982,239,m
ששון,1977,808,m
ויאצ'סלב,1974,26,m
אלכס,1971,244,m
סטניסלב,1961,45,m
סמי,1950,440,m
עדו,1935,42,m
ארבל,1909,29,m
אחיה,1903,252,m
ולדיסלב,1900,39,m
טוביה,1886,1260,m
ארתור,1858,217,m
דניס,1849,101,m
אנדריי,1838,78,m
אבשלום,1835,263,m
יהל,1830,111,m
יוני,1826,373,m
גילעד,1800,85,m
אדר,1755,135,m
נח,1747,1919,m
ליאון,1746,525,m
רני,1735,55,m
עמיר,1732,130,m
שבתאי,1711,738,m
צור,1685,253,m
ארנון,1678,94,m
אמיל,1662,419,m
נוה,1635,72,m
איציק,1634,348,m
יששכר,1607,1019,m
ריף,1606,35,m
אנדרי,1595,229,m
שחף,1595,48,m
גדי,1580,201,m
קונסטנטין,1578,60,m
נחמיה,1562,917,m
דותן,1552,57,m
שגב,1547,67,m
דקל,1522,68,m
ים,1519,372,m
נטע,1509,807,m
מתתיהו,1504,828,m
מיכה,1496,260,m
פיליפ,1491,665,m
גיורא,1487,144,m
נתאי,1477,23,m
הילל,1474,258,m
אבינועם,1464,143,m
אלדר,1457,70,m
זכריה,1446,759,m
מקס,1443,689,m
מורן,1432,79,m
מעין,1430,36,m
שגיב,1427,61,m
אביגדור,1404,691,m
סולומון,1400,292,m
ריי,1399,131,m
ישעיה,1387,1014,m
אמרי,1379,30,m
בעז,1365,63,m
יקותיאל,1351,456,m
לי,1321,750,m
חננאל,1319,268,m
הנרי,1313,791,m
מתנאל,1304,162,m
צח,1287,114,m
אילאי,1283,31,m
ניקולאי,1282,32,m
פינחס,1279,429,m
אראל,1275,73,m
עברי,1273,43,m
אורון,1270,66,m
גור,1265,196,m
שוהם,1263,48,m
מתניה,1257,212,m
סמואל,1256,601,m
עתי,1250,13,m
אליעד,1233,74,m
עמר,1231,36,m
כרמל,1227,103,m
סטיבן,1226,373,m
עופרי,1226,25,m
עזריאל,1222,599,m
שרגא,1222,1730,m
בניהו,1219,206,m
אלקנה,1215,262,m
רזיאל,1185,297,m
טוהר,1178,56,m
רביד,1178,29,m
אודי,1173,328,m
גבי,1161,175,m
מארק,1137,263,m
גבע,1134,11,m
רענן,1130,96,m
אנטון,1119,48,m
אפיק,1109,29,m
איסק,1108,162,m
גפן,1103,34,m
אליאס,1100,311,m
לני,1093,55,m
יהושוע,1092,816,m
מרטין,1090,564,m
עירן,1088,41,m
מייקל,1083,321,m
טומי,1081,57,m
עמירם,1073,116,m
אלישיב,1071,161,m
צדוק,1054,595,m
יניר,1048,24,m
חביב,1026,790,m
זלמן,1006,5792,m
מירון,1003,95,m
אבירן,1002,107,m
רוסלן,977,22,m
גאורגי,976,19,m
מעוז,966,86,m
אילי,965,53,m
גנדי,964,15,m
הוד,961,161,m
אדי,951,230,m
פטר,932,203,m
אליסף,928,91,m
ארד,928,11,m
פיוטר,919,16,m
ברי,913,183,m
ניל,912,163,m
אפק,902,15,m
ארטיום,895,28,m
ענבר,885,11,m
אסי,879,204,m
אביהו,874,197,m
ברנרד,871,466,m
צוריאל,869,146,m
רעי,865,72,m
סטפן,860,275,m
שיר,845,82,m
דוב,837,1449,m
אלברטו,830,542,m
איתיאל,829,80,m
עוזיאל,827,285,m
ג'רמי,823,178,m
מימון,822,777,m
גילי,821,77,m
דורי,821,56,m
אהד,817,28,m
נוריאל,807,176,m
סיני,807,195,m
מרום,799,73,m
מכלוף,797,795,m
ליעם,794,49,m
יעקוב,790,493,m
מני,779,259,m
אלנתן,761,98,m
פז,759,170,m
פאול,758,345,m
גדליה,757,681,m
אביה,750,97,m
פסח,745,663,m
רביב,740,53,m
ניקיטה,738,20,m
גרי,734,101,m
פרץ,729,674,m
אדריאן,725,286,m
לואיס,723,713,m
שהם,723,37,m
שובל,716,32,m
אוריין,706,48,m
מנדל,705,5002,m
פטריק,704,283,m
יועד,703,26,m
אלרועי,701,34,m
קיריל,701,20,m
ארמנד,700,145,m
אליאל,687,86,m
ירחמיאל,684,353,m
מריו,684,253,m
יום,681,536,m
מיקי,680,245,m
קלוד,676,597,m
ירמיהו,673,268,m
חזי,666,273,m
קלמן,665,579,m
אגם,662,21,m
פרוספר,662,324,m
אמתי,652,22,m
צורי,651,163,m
סעדיה,648,458,m
עמיאל,646,111,m
אוריאן,644,35,m
רגב,640,30,m
מסעוד,637,882,m
מישאל,636,149,m
צפריר,632,49,m
אל,629,2124,m
נוי,626,63,m
מרסל,623,295,m
רחל,64805,27267,f
שרה,63765,23572,f
אסתר,63440,24393,f
יעל,50376,4075,f
מרים,49223,18031,f
חנה,48432,15873,f
מיכל,47916,2934,f
תמר,43904,3860,f
רבקה,42731,17049,f
נועה,39672,1515,f
שירה,38143,5179,f
עדי,31226,1131,f
רות,29867,7220,f
לאה,29339,20228,f
חיה,28843,14651,f
מאיה,27837,852,f
הילה,25320,1810,f
אלה,24984,1148,f
שושנה,24731,5600,f
טליה,24264,1305,f
יהודית,24051,8631,f
רוני,21310,497,f
אפרת,21196,2019,f
אביגיל,20614,1895,f
מלכה,19662,8962,f
נעמי,19183,3505,f
שני,19154,868,f
הודיה,19087,5254,f
דבורה,18761,7406,f
בת,18476,3915,f
קרן,17838,1000,f
טל,17681,1313,f
עדן,17192,967,f
ענת,16983,793,f
אנה,16656,1494,f
שיר,16435,923,f
אילנה,16415,1419,f
יובל,16298,212,f
הדר,15759,737,f
דנה,15216,632,f
אילה,15176,1300,f
נעמה,14936,934,f
תהילה,14697,2289,f
הדס,14169,1156,f
אורית,14016,860,f
אורלי,13543,885,f
יפה,13535,2984,f
חן,13340,5839,f
נטע,13321,375,f
צפורה,13269,3282,f
מזל,13193,5749,f
נויה,13181,346,f
ליה,13086,643,f
שרון,13046,887,f
ליאת,12919,775,f
מעיין,12844,528,f
אירינה,12821,171,f
שולמית,12762,2034,f
דניאל,12732,1148,f
אדל,12717,1155,f
רונית,12687,714,f
מיה,12646,722,f
דינה,12409,3488,f
עמית,12214,145,f
שי,12159,954,f
ילנה,11905,161,f
אור,11608,4169,f
ברכה,11464,8530,f
רומי,11387,195,f
נטלי,11368,817,f
רותם,11363,194,f
דליה,11294,977,f
נחמה,11293,4381,f
הדסה,11264,3234,f
מיטל,11153,432,f
פנינה,11125,3324,f
מירב,11113,509,f
מוריה,10872,1258,f
אגם,10850,157,f
חוה,10809,3447,f
שחר,10730,514,f
ליאור,10697,336,f
איריס,10531,627,f
מורן,10521,366,f
ספיר,10492,513,f
עליזה,10484,2972,f
גלית,10472,530,f
רעות,10252,382,f
בתיה,10159,3268,f
מרינה,10144,236,f
לימור,9900,378,f
שקד,9749,257,f
ליאן,9695,232,f
אביטל,9687,720,f
סיון,9550,460,f
נעה,9448,473,f
שרית,9445,903,f
מאי,9303,431,f
מור,9284,642,f
אריאל,9268,437,f
טלי,9250,503,f
ליאל,9172,503,f
סופיה,9154,921,f
גל,9098,590,f
חגית,9057,567,f
טובה,9056,4522,f
סבטלנה,8980,274,f
זהבה,8876,2187,f
רינה,8825,2306,f
תהל,8761,393,f
אלישבע,8758,1294,f
נורית,8754,693,f
ורד,8658,1171,f
נגה,8635,235,f
דניאלה,8624,669,f
שירן,8582,310,f
לירון,8434,240,f
אורטל,8343,271,f
אוריה,8313,765,f
אולגה,8295,443,f
אמה,8218,894,f
שלי,8181,960,f
טטיאנה,8172,166,f
מיקה,8063,164,f
בר,8051,689,f
גילה,7940,1372,f
לינוי,7904,225,f
רויטל,7862,352,f
שמחה,7803,7128,f
גאיה,7742,178,f
אביבה,7738,1232,f
ירדן,7700,245,f
איילת,7604,333,f
ענבל,7595,177,f
נופר,7554,184,f
מעין,7525,247,f
ויקטוריה,7459,1083,f
נועם,7404,230,f
נטליה,7398,164,f
נוי,7347,493,f
מריה,7306,691,f
הלל,7301,840,f
סימה,7266,1832,f
דורית,7256,529,f
דפנה,7226,380,f
אופיר,7205,81,f
איילה,7191,857,f
יהלי,7062,213,f
ליטל,6971,205,f
יוליה,6921,301,f
עלמה,6865,204,f
אבישג,6759,362,f
לילך,6738,377,f
בלה,6700,1655,f
ענבר,6676,130,f
אביה,6675,831,f
ליבי,6636,727,f
אורי,6617,416,f
אורה,6542,1850,f
שיראל,6386,414,f
טוהר,6380,406,f
אורנה,6315,345,f
גלינה,6242,62,f
יפעת,6210,218,f
עינת,6137,144,f
אליה,6018,787,f
שלומית,6009,1057,f
לי,6005,8743,f
גילי,5999,257,f
תמרה,5931,310,f
סיגל,5921,346,f
יוכבד,5855,2224,f
שירלי,5835,316,f
ליאורה,5759,630,f
אמילי,5720,618,f
אינה,5680,130,f
גלי,5652,209,f
נאוה,5574,584,f
רוזה,5573,1547,f
סמדר,5480,347,f
רינת,5448,381,f
צביה,5434,1959,f
שירי,5401,234,f
אתי,5368,999,f
לריסה,5364,83,f
אהובה,5302,1641,f
עומר,5284,38,f
אירית,5274,278,f
ניצן,5268,144,f
ליהי,5231,305,f
עדנה,5106,518,f
אלינור,5096,386,f
אסנת,5096,397,f
אילנית,5074,303,f
דיאנה,4984,329,f
מרגלית,4963,1436,f
עופרי,4941,66,f
שילת,4910,455,f
נינה,4889,707,f
יסמין,4798,518,f
יערה,4760,129,f
נעם,4690,107,f
גפן,4670,87,f
עינב,4656,96,f
יפית,4647,561,f
סיגלית,4597,248,f
אודליה,4595,542,f
אילת,4591,191,f
אביב,4549,315,f
ניקול,4523,700,f
אלונה,4520,157,f
יבגניה,4418,116,f
אלכסנדרה,4417,601,f
זוהר,4381,1042,f
גליה,4337,462,f
מרי,4274,1368,f
אריאלה,4272,552,f
קארין,4217,204,f
סתיו,4209,115,f
מישל,4154,1118,f
נילי,4130,284,f
מירי,4102,523,f
פרידה,4100,1553,f
מירה,4054,489,f
אלין,3997,287,f
שפרה,3964,1274,f
לירז,3959,205,f
זיוה,3935,498,f
קורל,3935,142,f
כרמלה,3932,333,f
עדינה,3917,846,f
רחלי,3886,633,f
אלינה,3817,120,f
לודמילה,3799,75,f
תאיר,3737,302,f
קלרה,3697,991,f
נוגה,3684,143,f
מרגריטה,3625,108,f
ראיסה,3623,25,f
אליס,3601,1488,f
רותי,3536,351,f
כרמל,3502,239,f
יונה,3496,1050,f
לילי,3484,794,f
הילי,3376,120,f
אדוה,3373,147,f
גיטל,3355,3530,f
רוית,3352,143,f
סוזן,3340,1336,f
ליודמילה,3335,20,f
אודל,3330,295,f
פולינה,3326,79,f
איה,3277,196,f
ריטה,3263,303,f
שובל,3262,103,f
ליהיא,3233,103,f
רונה,3172,165,f
כרמית,3142,132,f
אוריאן,3099,88,f
חדוה,3084,673,f
שרונה,3082,174,f
ליאם,3053,125,f
סילביה,3048,541,f
זיו,3015,340,f
אלמה,3014,78,f
תקוה,3000,497,f
הגר,2989,100,f
גאולה,2987,980,f
אושרת,2981,336,f
צופיה,2972,487,f
ארבל,2966,24,f
יסכה,2958,505,f
אנאל,2956,157,f
דריה,2937,108,f
ליליה,2911,49,f
מלי,2892,656,f
קרין,2883,249,f
ורדה,2859,379,f
רננה,2839,320,f
אלמוג,2835,93,f
זהר,2826,407,f
צילה,2811,773,f
רוחמה,2790,1522,f
לידיה,2789,430,f
אידה,2773,663,f
רנה,2772,618,f
אוסנת,2764,235,f
עירית,2758,104,f
רעיה,2738,329,f
כוכבה,2723,499,f
אוה,2715,516,f
סוניה,2698,539,f
עמליה,2685,412,f
אוראל,2683,196,f
ליובוב,2635,49,f
פייגא,2614,1812,f
ציפורה,2613,1842,f
יולי,2609,142,f
ליזה,2596,613,f
עידית,2588,236,f
אורין,2576,62,f
פאינה,2570,60,f
מיכאלה,2547,412,f
ציונה,2541,460,f
יאנה,2514,68,f
עפרה,2481,130,f
פני,2470,702,f
ניצה,2461,288,f
ברוריה,2459,707,f
שרי,2453,551,f
יהל,2443,198,f
יקטרינה,2424,57,f
סימי,2419,741,f
אמונה,2403,1299,f
ירין,2384,45,f
לורן,2375,270,f
אלנה,2362,201,f
תמי,2358,277,f
ירדנה,2353,210,f
לבנה,2336,569,f
רגינה,2311,560,f
סגלית,2303,83,f
ורה,2291,196,f
נלי,2276,289,f
גבריאלה,2274,558,f
הללי,2260,161,f
דורין,2257,120,f
אופק,2239,67,f
אליאן,2235,261,f
שירז,2235,124,f
הלן,2216,1009,f
עופרה,2208,135,f
דורה,2187,368,f
אושרית,2169,263,f
לין,2156,916,f
זינאידה,2109,23,f
עטרה,2080,335,f
רז,2078,248,f
מינה,2074,806,f
אודיה,2063,548,f
אביבית,2059,192,f
עדה,2033,385,f
צליל,2033,117,f
ברטה,2030,531,f
חני,2013,369,f
רון,2011,189,f
שוהם,2007,52,f
דקלה,1996,72,f
אן,1977,2461,f
אמיליה,1968,209,f
מרב,1950,70,f
אושר,1948,366,f
גיל,1940,215,f
גולדה,1929,1200,f
נירית,1927,60,f
ליליאן,1906,435,f
יעלה,1903,107,f
נירה,1903,115,f
דלית,1899,101,f
לינדה,1899,364,f
אדר,1893,245,f
ימית,1891,167,f
אסיה,1886,79,f
ולנטינה,1886,83,f
אנסטסיה,1884,100,f
מרסל,1876,1195,f
משי,1868,152,f
שגית,1868,72,f
דיקלה,1864,72,f
עפרי,1850,18,f
מיתר,1849,37,f
סול,1842,976,f
מאירה,1792,635,f
רימה,1760,77,f
ריקי,1760,343,f
אליזבט,1759,858,f
סנדרה,1759,305,f
מריאנה,1757,108,f
בטי,1731,496,f
מירית,1729,159,f
עמנואל,1701,234,f
הלנה,1690,455,f
ליבא,1688,1912,f
סימונה,1688,263,f
איטה,1687,1266,f
מילה,1659,77,f
זויה,1658,50,f
סופי,1657,552,f
רני,1653,98,f
אלי,1648,188,f
אווה,1642,356,f
סטלה,1640,239,f
דנית,1636,117,f
לירי,1632,28,f
ריבה,1630,374,f
שיינא,1630,449,f
אנט,1624,348,f
אוריין,1623,50,f
לני,1616,51,f
בלומה,1580,1345,f
סהר,1569,88,f
עלמא,1563,33,f
חביבה,1557,720,f
שחף,1553,80,f
אליזבטה,1551,39,f
יהב,1551,52,f
יונית,1541,220,f
ענהאל,1540,84,f
הניה,1539,854,f
שולה,1538,364,f
דגנית,1533,77,f
עינבל,1516,44,f
מאור,1500,80,f
ז'אנה,1497,35,f
כנרת,1489,108,f
ולריה,1488,97,f
לינור,1468,75,f
ורוניקה,1461,204,f
אליסה,1457,164,f
קטי,1444,297,f
קורין,1420,210,f
קים,1415,141,f
לוטם,1412,41,f
ליז,1408,423,f
ליאה,1401,134,f
תפארת,1400,313,f
זהבית,1398,276,f
ים,1398,515,f
תרצה,1389,374,f
פרלה,1374,528,f
שמרית,1359,59,f
שיינדל,1353,1287,f
קרינה,1347,156,f
בלהה,1332,451,f
רייזל,1318,2624,f
ויויאן,1310,384,f
לובוב,1303,24,f
שהם,1297,52,f
פזית,1293,99,f
חופית,1292,55,f
ויקי,1279,313,f
אורנית,1278,61,f
איזבלה,1278,85,f
לינה,1274,174,f
לירן,1273,51,f
חלי,1272,338,f
אליענה,1271,169,f
מנוחה,1268,498,f
אוקסנה,1254,59,f
אמי,1244,154,f
זואי,1244,170,f
אבלין,1241,269,f
מיאל,1237,33,f
לאורה,1219,307,f
ג'ני,1218,278,f
אופירה,1217,95,f
ליב,1209,89,f
איימי,1190,104,f
זקלין,1181,141,f
ישראלה,1174,358,f
הינדא,1168,795,f
מילנה,1152,41,f
נדז'דה,1150,30,f
אסתי,1147,205,f
אינסה,1141,15,f
יליזבטה,1137,6,f
מילי,1135,143,f
גיטה,1131,516,f
פז,1131,482,f
ליאנה,1130,56,f
ניב,1120,22,f
ליעד,1119,74,f
ברברה,1117,226,f
מוניקה,1117,288,f
פלורה,1117,302,f
תום,1114,32,f
זוהרה,1112,872,f
סוזי,1108,348,f
דור,1107,117,f
אניטה,1099,193,f
אופל,1085,29,f
אדית,1078,472,f
אושרה,1072,210,f
דורון,1072,35,f
טניה,1070,170,f
פסיה,1062,649,f
פאני,1060,663,f
אורן,1059,35,f
סוזנה,1054,216,f
ג'סיקה,1052,164,f
תהלה,1052,166,f
יוטא,1048,535,f
לורה,1047,187,f
אירנה,1037,205,f
נדיה,1029,143,f
ציפי,1029,210,f
פערל,1027,1286,f
רתם,1026,10,f
רוזליה,1020,59,f
אלאונורה,1018,25,f
